section,method,item_id,item_text,rationale,response_format,design_notes,status,fielding_order_position
Consent,Admin,consent,I consent to participate / I do not consent,UQ ethics requirement (2023/HE002257),Binary: I consent / I do not consent,Non-consent ends survey. Information sheet shown first (v2.1).,Live,1
Intro,Admin,intro,Topic-neutral warm-up: 'Technology and your community',Does NOT mention AI — avoids priming before unanchored tolerance items,Introductory text (no response),Placed before any AI mention so free-number estimation is truly unanchored.,Live,2
Framing experiment,Information provision,info_provision,"Short, balanced explanation of loss-of-control risk plus a counter-consideration (random half see it, half do not)","Test whether opinion moves with information; where informed and uninformed answers diverge, the informed estimate is the headline",Between-subjects: shown / not shown,Sits before the tolerance block by design. The balanced info note is separate from the persuasive counter-message arm.,Live,3
Method 1: Direct elicitation,Direct / scope test,m4c_severity_ladder,"For each outcome, what is the highest chance per year you would find acceptable for AI systems to cause it?","Traces each person's stated F–N curve; within-person scope sensitivity is the key test (flat = affect, not threshold). Convergence cross-check for DCE.",Matrix: 4 severity rows × 9-point log-probability scale (see sub-rows),Row order randomised. Between-subjects arm cross-checks for demand effects. Held fully static (non-adaptive) so convergence check (§5) rests on a clean comparison. Fielded FIRST among tolerance blocks so no prior figure anchors the respondent's own number.,Live,4
Method 1: Direct elicitation,Direct / scope test,m4c_severity_ladder_row1,Severity row: A single death,Lower anchor for F–N curve,"Select one: 1 in 10 / 1 in 100 / 1 in 1,000 / 1 in 10,000 / 1 in 100,000 / 1 in 1,000,000 / 1 in 10,000,000 / 1 in 1,000,000,000 / Should never be allowed",Within-person severity ladder row. Order randomised.,Live,4
Method 1: Direct elicitation,Direct / scope test,m4c_severity_ladder_row2,"Severity row: 100 deaths or serious injuries, or $1 billion in damage",RAISE Act 'critical harm' legal anchor,"Select one: 1 in 10 / 1 in 100 / 1 in 1,000 / 1 in 10,000 / 1 in 100,000 / 1 in 1,000,000 / 1 in 10,000,000 / 1 in 1,000,000,000 / Should never be allowed",Within-person severity ladder row. Order randomised.,Live,4
Method 1: Direct elicitation,Direct / scope test,m4c_severity_ladder_row3,"Severity row: 1,000,000 deaths or $100 billion in damage",MIT AI Risk Repository 'catastrophic' threshold,"Select one: 1 in 10 / 1 in 100 / 1 in 1,000 / 1 in 10,000 / 1 in 100,000 / 1 in 1,000,000 / 1 in 10,000,000 / 1 in 1,000,000,000 / Should never be allowed",Within-person severity ladder row. Order randomised.,Live,4
Method 1: Direct elicitation,Direct / scope test,m4c_severity_ladder_row4,"Severity row: ~800,000,000 deaths, about 10% of humanity",FRI/XPT 'catastrophe' definition,"Select one: 1 in 10 / 1 in 100 / 1 in 1,000 / 1 in 10,000 / 1 in 100,000 / 1 in 1,000,000 / 1 in 10,000,000 / 1 in 1,000,000,000 / Should never be allowed",Within-person severity ladder row. Order randomised.,Live,4
Method 1: Direct elicitation,Direct / WTP,m5_wtp,"What is the most you would be willing to pay each year, through higher prices and taxes, to cut the annual chance of an AI catastrophe from 1 in 20 to 1 in 100?","WTP cross-check; DCE cost coefficient is the primary WTP, this is the secondary. Log scale tames protest zeros and outliers.","Select one: $0 / $1–10 / $10–100 / $100–1,000 / $1,000–10,000 / More than $10,000",Bounded log scale (not free text).,Live,8
Method 2: DCE,Discrete choice experiment,dce_task,Here are two possible futures for advanced AI. Which do you prefer? (You may also choose to keep today's situation.),"Revealed preferences rather than stated; recovers tradeoffs (safety vs utility, cost, competitiveness) the way people reveal preferences when shopping. Resistant to scope-insensitivity gaming.",Forced choice: Option A / Option B / Keep today's status quo. ~10 tasks per respondent.,"Bayesian D-efficient design, 2 alternatives + opt-out, 10 tasks, 10 blocks, 4,000 respondents. Population-level sequential re-optimisation at wave boundaries. 720-profile full factorial (4×5×3×3×4).",Live,5
Method 2: DCE,DCE attribute,dce_attr_severity,DCE attribute: Worst catastrophe it could cause,Severity varied across the four-tier ladder (not fixed) so design traces full F–N surface,"4 levels: A single death / 100 deaths or $1B damage / 1,000,000 deaths or $100B damage / ~800,000,000 deaths (~10% of humanity)","RAISE Act 'critical harm' tier is the legal baseline. Severity is varied, not fixed, unlike old single-severity design.",Live,5
Method 2: DCE,DCE attribute,dce_attr_probability,DCE attribute: Annual chance of that catastrophe,Log-spaced probability levels spanning the plausible range,"5 levels: 1 in 100 / 1 in 1,000 / 1 in 10,000 / 1 in 100,000 / 1 in 1,000,000",Natural-frequency labels (not percentages).,Live,5
Method 2: DCE,DCE attribute,dce_attr_utility,DCE attribute: What AI can do for society,Captures the benefit side of the risk-benefit tradeoff,3 levels: Modest / Major / Transformative,,Live,5
Method 2: DCE,DCE attribute,dce_attr_competition,DCE attribute: Global competition,Geopolitical dimension of the tradeoff,3 levels: Others lead / Keep pace / US leads,,Live,5
Method 2: DCE,DCE attribute,dce_attr_cost,DCE attribute: Cost to your household per year,Enables WTP calculation (risk coefficient / cost coefficient),"4 levels: $0 / $100 / $400 / $1,000",Primary WTP source; m5_wtp is the cross-check.,Live,5
Method 2: DCE,DCE severity level,dce_severity_level_1,DCE severity level: A single death,Lower anchor for F–N curve,Attribute level (position 1 of 4),,Live (attribute level),5
Method 2: DCE,DCE severity level,dce_severity_level_2,DCE severity level: 100 deaths or $1B damage,RAISE Act 'critical harm',Attribute level (position 2 of 4),,Live (attribute level),5
Method 2: DCE,DCE severity level,dce_severity_level_3,"DCE severity level: 1,000,000 deaths or $100B damage",MIT AI Risk Repository 'catastrophic',Attribute level (position 3 of 4),,Live (attribute level),5
Method 2: DCE,DCE severity level,dce_severity_level_4,"DCE severity level: ~800,000,000 deaths (~10% of humanity)",FRI/XPT 'catastrophe',Attribute level (position 4 of 4),,Live (attribute level),5
Method 2: DCE,DCE probability level,dce_prob_level_1,DCE probability level: 1 in 100,Log-spaced to cover plausible range of annual catastrophe risk,Attribute level (position 1 of 5),,Live (attribute level),5
Method 2: DCE,DCE probability level,dce_prob_level_2,"DCE probability level: 1 in 1,000",Log-spaced to cover plausible range of annual catastrophe risk,Attribute level (position 2 of 5),,Live (attribute level),5
Method 2: DCE,DCE probability level,dce_prob_level_3,"DCE probability level: 1 in 10,000",Log-spaced to cover plausible range of annual catastrophe risk,Attribute level (position 3 of 5),,Live (attribute level),5
Method 2: DCE,DCE probability level,dce_prob_level_4,"DCE probability level: 1 in 100,000",Log-spaced to cover plausible range of annual catastrophe risk,Attribute level (position 4 of 5),,Live (attribute level),5
Method 2: DCE,DCE probability level,dce_prob_level_5,"DCE probability level: 1 in 1,000,000",Log-spaced to cover plausible range of annual catastrophe risk,Attribute level (position 5 of 5),,Live (attribute level),5
Method 2: DCE,DCE utility level,dce_utility_level_1,"DCE utility level: Modest — Today's AI, used by everyone. Most tasks get easier and cheaper, but AI isn't solving the big problems yet.","Benefit side of risk-benefit tradeoff. Year 7-9 reading level. Calibrated: current capability widely diffused. Transformative pegged to booster/e-acc hype-day claims, levels work backwards from there.",Attribute level (position 1 of 3),,Live (attribute level),5
Method 2: DCE,DCE utility level,dce_utility_level_2,"DCE utility level: Major — AI makes doctors, scientists, and teachers much better at their jobs. Real breakthroughs happen, but the hardest problems aren't solved.","Benefit side of risk-benefit tradeoff. Year 7-9 reading level. Big but not utopian.",Attribute level (position 2 of 3),,Live (attribute level),5
Method 2: DCE,DCE utility level,dce_utility_level_3,"DCE utility level: Transformative — AI cures most diseases, makes energy nearly free, and solves problems we thought were impossible.","Benefit side of risk-benefit tradeoff. Year 7-9 reading level. Pegged to Altman/Amodei/a16z 'age of abundance' pitch.",Attribute level (position 3 of 3),,Live (attribute level),5
Method 2: DCE,DCE competition level,dce_competition_level_1,DCE competition level: Others lead,Geopolitical tradeoff dimension,Attribute level (position 1 of 3),,Live (attribute level),5
Method 2: DCE,DCE competition level,dce_competition_level_2,DCE competition level: Keep pace,Geopolitical tradeoff dimension,Attribute level (position 2 of 3),,Live (attribute level),5
Method 2: DCE,DCE competition level,dce_competition_level_3,DCE competition level: US leads,Geopolitical tradeoff dimension,Attribute level (position 3 of 3),,Live (attribute level),5
Method 2: DCE,DCE cost level,dce_cost_level_1,DCE cost level: $0 per household per year,Enables WTP calculation,Attribute level (position 1 of 4),,Live (attribute level),5
Method 2: DCE,DCE cost level,dce_cost_level_2,DCE cost level: $100 per household per year,Enables WTP calculation,Attribute level (position 2 of 4),,Live (attribute level),5
Method 2: DCE,DCE cost level,dce_cost_level_3,DCE cost level: $400 per household per year,Enables WTP calculation,Attribute level (position 3 of 4),,Live (attribute level),5
Method 2: DCE,DCE cost level,dce_cost_level_4,"DCE cost level: $1,000 per household per year",Enables WTP calculation,Attribute level (position 4 of 4),,Live (attribute level),5
Method 2: DCE,DCE choice option,dce_choice_option_a,DCE response option: Option A,'Keep today's status quo' is the opt-out / status quo anchor,Radio button,,Live (response option),5
Method 2: DCE,DCE choice option,dce_choice_option_b,DCE response option: Option B,'Keep today's status quo' is the opt-out / status quo anchor,Radio button,,Live (response option),5
Method 2: DCE,DCE choice option,dce_choice_keep_today's_status_quo,DCE response option: Keep today's status quo,'Keep today's status quo' is the opt-out / status quo anchor,Radio button,,Live (response option),5
Method 2: DCE,DCE design decision,dce_design_adaptive,Population-level sequential re-optimisation (adaptive priors between waves),Adding severity enlarges grid from 180 to 720 profiles; diffuse priors spread power thinly. Adaptation sharpens which tradeoffs the next wave sees.,"Waves: pilot ~500, then ~3 main waves of ~1,170 (≈4,010 total). Design locked within each wave.",Between-respondent only; no within-respondent endogeneity. Pre-registered deterministic algorithm. Design updated only if it lowers Bayesian D-error. §3.1 held static for clean convergence check.,Live (design decision),5
Method 2: DCE,DCE design decision,dce_design_blocks,"10 blocks, ~10 tasks per respondent",Cognitive load: 10 multi-attribute choices is near upper end of what a general sample handles well,Blocked versions assigned to respondents,Bayesian D-efficient design via cbcTools; level balance and overlap checked.,Live (design decision),5
Method 3: Anchor to accepted safety,Comparative standards,m3a_standards,"Compared with how strictly the US government regulates [comparator], regulation of advanced AI should be:",Comparative judgements are easier and more stable than absolute ones; maps onto how regulators argue. Split from safety-in-practice after Gradient flagged the Figure-11 conflation.,5-point: Much less strict / Somewhat less strict / About the same / Somewhat stricter / Much stricter,"Comparator randomised from: nuclear power, commercial aviation, new prescription drugs, cars, large dams. Specified at industry scope (all reactors, whole aviation system) to fix the denominator problem.",Live,6
Method 3: Anchor to accepted safety,Comparative standards (comparator),m3a_standards_nuclear_power,Standards comparator: nuclear power,Familiar industry the public has lived intuitions about,Randomised comparator option,Industry-level scope (not single-unit) to match AI risk estimates.,Live (comparator option),6
Method 3: Anchor to accepted safety,Comparative standards (comparator),m3a_standards_commercial_aviation,Standards comparator: commercial aviation,Familiar industry the public has lived intuitions about,Randomised comparator option,Industry-level scope (not single-unit) to match AI risk estimates.,Live (comparator option),6
Method 3: Anchor to accepted safety,Comparative standards (comparator),m3a_standards_new_prescription_drugs,Standards comparator: new prescription drugs,Familiar industry the public has lived intuitions about,Randomised comparator option,Industry-level scope (not single-unit) to match AI risk estimates.,Live (comparator option),6
Method 3: Anchor to accepted safety,Comparative standards (comparator),m3a_standards_cars,Standards comparator: cars,Familiar industry the public has lived intuitions about,Randomised comparator option,Industry-level scope (not single-unit) to match AI risk estimates.,Live (comparator option),6
Method 3: Anchor to accepted safety,Comparative standards (comparator),m3a_standards_large_dams,Standards comparator: large dams,Familiar industry the public has lived intuitions about,Randomised comparator option,Industry-level scope (not single-unit) to match AI risk estimates.,Live (comparator option),6
Method 3: Anchor to accepted safety,Comparative standards (scale),m3a_standards_scale_1,Standards scale option: Much less strict,5-point comparative scale,Radio button (position 1 of 5),,Live (scale option),6
Method 3: Anchor to accepted safety,Comparative standards (scale),m3a_standards_scale_2,Standards scale option: Somewhat less strict,5-point comparative scale,Radio button (position 2 of 5),,Live (scale option),6
Method 3: Anchor to accepted safety,Comparative standards (scale),m3a_standards_scale_3,Standards scale option: About the same,5-point comparative scale,Radio button (position 3 of 5),,Live (scale option),6
Method 3: Anchor to accepted safety,Comparative standards (scale),m3a_standards_scale_4,Standards scale option: Somewhat stricter,5-point comparative scale,Radio button (position 4 of 5),,Live (scale option),6
Method 3: Anchor to accepted safety,Comparative standards (scale),m3a_standards_scale_5,Standards scale option: Much stricter,5-point comparative scale,Radio button (position 5 of 5),,Live (scale option),6
Dumpster (Appendix C),Cut item,dump_m3a_safety,"Compared with how safe [same comparator] is in practice today, advanced AI systems should be:","Why cut: Mike's decision (29 Jun 2026) — the survey cares about standards (regulation), not safety-in-practice (outcomes). Original split was Gradient's recommendation to fix Figure-11 category error; keeping standards only.",N/A (cut from instrument),Recoverable if the standards-vs-outcomes distinction proves important in pilot.,Dumpster,
Dumpster (Appendix C),Cut item,dump_m3a_safety_scale,"Safety-in-practice scale (Much less safe / Somewhat less safe / About as safe / Somewhat safer / Much safer)","Why cut: parent item (m3a_safety) moved to dumpster.",N/A (cut from instrument),,Dumpster,
Method 3: Anchor to accepted safety,Frame applicability,m2_frame_applicable,"Some technologies (flying, nuclear power) are held to a strict number for how risky they are allowed to be. Which is closer to your view about advanced AI?",Lets people who reject the premise (AI risk can't be quantified) say so; primaries reported separately for those who reject the frame.,3 options: 'You can put a number on its risk and hold it to a safety limit too' / 'Its risk is too uncertain to put a useful number on' / 'Unsure',Both options matched for length and reading level; the example sits in the stem so neither option is easier to pick. Fielded with expert-judgement block (step 7).,Live,7
Method 3: Anchor to accepted safety,Frame applicability (option),m2_frame_applicable_opt_1,Frame-applicability option: You can put a number on its risk and hold it to a safety limit too,Matched for length and reading level,Radio button (position 1 of 3),,Live (response option),7
Method 3: Anchor to accepted safety,Frame applicability (option),m2_frame_applicable_opt_2,Frame-applicability option: Its risk is too uncertain to put a useful number on,Matched for length and reading level,Radio button (position 2 of 3),,Live (response option),7
Method 3: Anchor to accepted safety,Frame applicability (option),m2_frame_applicable_opt_3,Frame-applicability option: Unsure,Matched for length and reading level,Radio button (position 3 of 3),,Live (response option),7
Method 3: Anchor to accepted safety,Sanity anchor,m3_sanity,"Compared with a high-risk voluntary activity [randomise: bungee jumping, BASE jumping, climbing Everest], how safe should advanced AI be?",Dangerous-activity anchor at the risky end so we can confirm people can place AI across the full range. Almost everyone should say 'much safer'; anyone who does not is flagged.,Same 5-point safety scale as m3a_safety,Comparator death rates are approximate and must be verified before fielding (§9 open item).,Live,6
Method 3: Anchor to accepted safety,Sanity anchor (comparator),m3_sanity_bungee_jumping,Sanity anchor comparator: bungee jumping,High-risk voluntary activity for the risky-end anchor,Randomised comparator option,,Live (comparator option),6
Method 3: Anchor to accepted safety,Sanity anchor (comparator),m3_sanity_BASE_jumping,Sanity anchor comparator: BASE jumping,High-risk voluntary activity for the risky-end anchor,Randomised comparator option,,Live (comparator option),6
Method 3: Anchor to accepted safety,Sanity anchor (comparator),m3_sanity_climbing_Everest,Sanity anchor comparator: climbing Everest,High-risk voluntary activity for the risky-end anchor,Randomised comparator option,,Live (comparator option),6
Method 3: Anchor to accepted safety,Attention check,m3_att_elevator,"Attention check: elevator safety comparison (disguised as comparator item with same stem/scale, requiring 'Somewhat stricter')",Bidirectional attention-check pair; Barnett requested one 'more strict' and one 'less strict',Same 5-point comparator scale as m3a items,Disguised as a regular comparator item; placed apart from its pair.,Live,6
Method 3: Anchor to accepted safety,Attention check,m3_att_playground,"Attention check: playground safety comparison (disguised as comparator item with same stem/scale, requiring 'Somewhat stricter')",Second of the bidirectional attention-check pair,Same 5-point comparator scale as m3a items,Placed apart from m3_att_elevator.,Live,6
Method 4: Judge experts,Expert judgement,m2_experts,"Several public figures have estimated the chance that advanced AI leads to a catastrophe killing a large fraction of humanity. For each, accepting a risk at that level would be:",Recognition not generation; directly decision-relevant; robust to 'who counts as an expert' critique because every anchor is attributed. Fielded LAST because named figures are strongest anchors.,Matrix: 4 expert rows × 4-point tolerability scale (Acceptable / Tolerable / Intolerable / Unacceptable),"Symmetric anchor pool from ~0% (LeCun) to ~25% (Amodei). Reported by source. FIELD FLAG: every named figure is illustrative and MUST be replaced with exact, citable quotations before fielding.",Live,7
Method 4: Judge experts,Expert judgement (source row),m2_experts_row_1,"Expert row: Yann LeCun (Meta): less than 1 in 10,000",~0% anchor — lowest end of expert range,4-point tolerability: Acceptable / Tolerable / Intolerable / Unacceptable (should be illegal),Figure illustrative — needs exact citable quotation before fielding. Order: LeCun → Altman → Musk → Amodei.,Live,7
Method 4: Judge experts,Expert judgement (source row),m2_experts_row_2,Expert row: Sam Altman (OpenAI): about 1 in 50,~2% — mid-range,4-point tolerability: Acceptable / Tolerable / Intolerable / Unacceptable (should be illegal),Figure illustrative — needs exact citable quotation before fielding. Order: LeCun → Altman → Musk → Amodei.,Live,7
Method 4: Judge experts,Expert judgement (source row),m2_experts_row_3,Expert row: Elon Musk (xAI / Tesla): about 1 in 5,~20% — high end,4-point tolerability: Acceptable / Tolerable / Intolerable / Unacceptable (should be illegal),Figure illustrative — needs exact citable quotation before fielding. Order: LeCun → Altman → Musk → Amodei.,Live,7
Method 4: Judge experts,Expert judgement (source row),m2_experts_row_4,Expert row: Dario Amodei (Anthropic): about 1 in 4,~25% — highest named anchor,4-point tolerability: Acceptable / Tolerable / Intolerable / Unacceptable (should be illegal),Figure illustrative — needs exact citable quotation before fielding.,Live,7
Method 4: Judge experts,Expert judgement (source row),m2_experts_row_5,"Expert row: Superforecasters (FRI Existential Risk Persuasion Tournament): about 1 in 100",~1% — superforecaster median from XPT. Lower than AI experts. Provides a calibrated-forecaster anchor distinct from industry CEOs.,4-point tolerability: Acceptable / Tolerable / Intolerable / Unacceptable (should be illegal),Figure illustrative — verify against published XPT results before fielding. Source: Forecasting Research Institute XPT (2022).,Live,7
Method 4: Judge experts,Expert judgement (source row),m2_experts_row_6,"Expert row: AI researchers (FRI Existential Risk Persuasion Tournament): about 1 in 20",~5% — AI expert median from XPT. Sits between Altman and Musk; provides an aggregate rather than a single person's view.,4-point tolerability: Acceptable / Tolerable / Intolerable / Unacceptable (should be illegal),Figure illustrative — verify against published XPT results before fielding. Source: Forecasting Research Institute XPT (2022).,Live,7
Method 4: Judge experts,Tolerability scale option,tolerability_scale_1,"Tolerability scale option: Acceptable — Fine","Monotonic 4-point scale; relabelled after Barnett pointed out 'negligent' reads as weaker than 'intolerable', breaking monotonicity. Plain-language gloss added for lay respondents.",Radio button (position 1 of 4),Used across all Cluster B items.,Live (scale option),7
Method 4: Judge experts,Tolerability scale option,tolerability_scale_2,"Tolerability scale option: Tolerable — Uncomfortable but ok","Monotonic 4-point scale; plain-language gloss added for lay respondents.",Radio button (position 2 of 4),Used across all Cluster B items.,Live (scale option),7
Method 4: Judge experts,Tolerability scale option,tolerability_scale_3,"Tolerability scale option: Intolerable — Too high","Monotonic 4-point scale; plain-language gloss added for lay respondents.",Radio button (position 3 of 4),Used across all Cluster B items.,Live (scale option),7
Method 4: Judge experts,Tolerability scale option,tolerability_scale_4,"Tolerability scale option: Unacceptable — Should be illegal","Monotonic 4-point scale; plain-language gloss added for lay respondents.",Radio button (position 4 of 4),Used across all Cluster B items.,Live (scale option),7
Costed tradeoffs,Delay,m5b_delay_uncond,Unconditional delay item (would you support slowing AI development?),Unconditional support for slowing — reported separately from conditional,TBC (likely Likert or binary),Gradient criticism: don't conflate conditional with unconditional support. Strict conditional-reporting rule.,Live,8
Costed tradeoffs,Delay,m5b_delay_cond,Conditional delay item (would you support slowing AI development IF [condition]?),Conditional support — reported separately from unconditional,TBC (likely Likert or binary),Strict conditional-reporting rule per Gradient.,Live,8
Costed tradeoffs,Competition,m5_race,Conditional slowdown / race item (would you support slowing even if other countries don't?),Tests whether geopolitical competition overrides safety concerns,TBC,,Live,8
Policy (Cluster A),Policy attitudes,m6_certify,"Before a company releases a powerful AI system, it should have to get a licence or certificate showing it is safe",Policy preference for mandatory certification. Year 7-9 wording.,5-point agreement: Strongly disagree / Disagree / Neither / Agree / Strongly agree,,Live,9
Policy (Cluster A),Policy attitudes,m6_faa,"The government should test every powerful AI system before it is released to the public, and have the power to block it if it is not safe enough (like how the FAA tests planes)","Anthropic's stated proposal, presented neutrally as 'some have proposed'. Single most important mitigation item retained after mitigations battery was cut. Year 7-9 wording.",5-point agreement: Strongly disagree / Disagree / Neither / Agree / Strongly agree,,Live,9
Policy (Cluster A),Policy attitudes,m6_fedstate,"AI safety rules should be set by the federal government, not left to each state to decide on its own",Governance-structure preference. Year 7-9 wording.,5-point agreement: Strongly disagree / Disagree / Neither / Agree / Strongly agree,,Live,9
Policy (Cluster A),Policy attitudes,m6_killswitch,"Every powerful AI system should have an off-switch that lets people shut it down quickly if something goes wrong",Safety-mechanism preference. Year 7-9 wording.,5-point agreement: Strongly disagree / Disagree / Neither / Agree / Strongly agree,,Live,9
Dumpster (Appendix C),Cut item,dump_m6_liability,"Liability regime for AI harms","Why cut: Mike's decision (29 Jun 2026) — the item kept getting tangled in legal doctrine (strict liability vs negligence vs no liability). Hard to write at year 7-9 level without presupposing a position. Not clearly decision-relevant for the survey's core aim (risk tolerance).",N/A (cut from instrument),Ball-style review had flagged original version as biased toward strict liability.,Dumpster,
Framing experiments,Counter-message,counter_message_arm,"Counter-message arm: random third see accelerationist talking points (a16z style), random third see safety talking points, third see none",Test how much opinion moves with messaging; swing in agreement is the headline result. Requested by Delaney.,Between-subjects: accelerationist / safety / control (none),"Placed immediately BEFORE the superintelligence statement (step 10), NOT before the tolerance block — so it measures framing on an attitude, not on tolerance. Framing effects on tolerance itself are left to the balanced information-provision arm (step 3).",Live,10
Framing experiments,Counter-message (arm),counter_message_accelerationist,Counter-message arm: Accelerationist (a16z style),Between-subjects randomisation,Assigned condition (no response collected for the arm itself),,Live (experimental arm),10
Framing experiments,Counter-message (arm),counter_message_safety,Counter-message arm: Safety talking points,Between-subjects randomisation,Assigned condition (no response collected for the arm itself),,Live (experimental arm),10
Framing experiments,Counter-message (arm),counter_message_control,Counter-message arm: Control (none),Between-subjects randomisation,Assigned condition (no response collected for the arm itself),,Live (experimental arm),10
